time(s);battery;obc;eps;communication;sdatf;slp;smdh
1;2,4226568;;;;;;
2;2,4221532;On;On;Receiver;Off;Off;Off
3;2,42165;On;On;Receiver;Off;Off;Off
4;2,4211466;On;On;Receiver;Off;Off;Off
5;2,4206433;On;On;Receiver;Off;Off;Off
6;2,42014;On;On;Receiver;Off;Off;Off
7;2,4196367;On;On;Receiver;Off;Off;Off
8;2,4191334;On;On;Receiver;Off;Off;Off
9;2,41863;On;On;Receiver;Off;Off;Off
10;2,4181266;On;On;Receiver;Off;Off;Off
11;2,4176233;On;On;Receiver;Off;Off;Off
12;2,41712;On;On;Receiver;Off;Off;Off
13;2,4166167;On;On;Receiver;Off;Off;Off
14;2,4161134;On;On;Receiver;Off;Off;Off
15;2,41561;On;On;Receiver;Off;Off;Off
16;2,4151068;On;On;Receiver;Off;Off;Off
17;2,4146032;On;On;Receiver;Off;Off;Off
18;2,4141;On;On;Receiver;Off;Off;Off
19;2,4135966;On;On;Receiver;Off;Off;Off
20;2,4130933;On;On;Receiver;Off;Off;Off
21;2,41259;On;On;Receiver;Off;Off;Off
22;2,4120867;On;On;Receiver;Off;Off;Off
23;2,4115834;On;On;Receiver;Off;Off;Off
24;2,41108;On;On;Receiver;Off;Off;Off
25;2,4105766;On;On;Receiver;Off;Off;Off
26;2,4100733;On;On;Receiver;Off;Off;Off
27;2,40957;On;On;Receiver;Off;Off;Off
28;2,4090667;On;On;Receiver;Off;Off;Off
29;2,4085634;On;On;Receiver;Off;Off;Off
30;2,40806;On;On;Receiver;Off;Off;Off
31;2,4075568;On;On;Receiver;Off;Off;Off
32;2,4070532;On;On;Receiver;Off;Off;Off
33;2,40655;On;On;Receiver;Off;Off;Off
34;2,4060466;On;On;Receiver;Off;Off;Off
35;2,4055433;On;On;Receiver;Off;Off;Off
36;2,40504;On;On;Receiver;Off;Off;Off
37;2,4045367;On;On;Receiver;Off;Off;Off
38;2,4040334;On;On;Receiver;Off;Off;Off
39;2,40353;On;On;Receiver;Off;Off;Off
40;2,4030266;On;On;Receiver;Off;Off;Off
41;2,4025233;On;On;Receiver;Off;Off;Off
42;2,40202;On;On;Receiver;Off;Off;Off
43;2,4015167;On;On;Receiver;Off;Off;Off
44;2,4010134;On;On;Receiver;Off;Off;Off
45;2,40051;On;On;Receiver;Off;Off;Off
46;2,4000068;On;On;Receiver;Off;Off;Off
47;2,3995032;On;On;Receiver;Off;Off;Off
48;2,399;On;On;Receiver;Off;Off;Off
49;2,3984966;On;On;Receiver;Off;Off;Off
50;2,3979933;On;On;Receiver;Off;Off;Off
51;2,39749;On;On;Receiver;Off;Off;Off
52;2,3969867;On;On;Receiver;Off;Off;Off
53;2,3964834;On;On;Receiver;Off;Off;Off
54;2,39598;On;On;Receiver;Off;Off;Off
55;2,3954766;On;On;Receiver;Off;Off;Off
56;2,3949733;On;On;Receiver;Off;Off;Off
57;2,39447;On;On;Receiver;Off;Off;Off
58;2,3939667;On;On;Receiver;Off;Off;Off
59;2,3934634;On;On;Receiver;Off;Off;Off
60;2,39296;On;On;Receiver;Off;Off;Off
