time(s);battery;orbit;obc;eps;communication;sdatf;slp;smdh;total_drop
1;19,239925;;;;;;;;7,388889E-5
2;19,239693;ecl;On;On;Receiver;Off;Off;Off;2,3388889E-4
3;19,239458;ecl;On;On;Receiver;Off;Off;Off;2,3388889E-4
4;19,239225;ecl;On;On;Receiver;Off;Off;Off;2,3388889E-4
5;19,23899;ecl;On;On;Receiver;Off;Off;Off;2,3388889E-4
6;19,238756;ecl;On;On;Receiver;Off;Off;Off;2,3388889E-4
7;19,238523;ecl;On;On;Receiver;Off;Off;Off;2,3388889E-4
8;19,238289;ecl;On;On;Receiver;Off;Off;Off;2,3388889E-4
9;19,238054;ecl;On;On;Receiver;Off;Off;Off;2,3388889E-4
10;19,237822;ecl;On;On;Receiver;Off;Off;Off;2,3388889E-4
11;19,237587;ecl;On;On;Receiver;Off;Off;Off;2,3388889E-4
12;19,237354;ecl;On;On;Receiver;Off;Off;Off;2,3388889E-4
13;19,23712;ecl;On;On;Receiver;Off;Off;Off;2,3388889E-4
14;19,236885;ecl;On;On;Receiver;Off;Off;Off;2,3388889E-4
15;19,236652;ecl;On;On;Receiver;Off;Off;Off;2,3388889E-4
16;19,236418;ecl;On;On;Receiver;Off;Off;Off;2,3388889E-4
17;19,236183;ecl;On;On;Receiver;Off;Off;Off;2,3388889E-4
18;19,23595;ecl;On;On;Receiver;Off;Off;Off;2,3388889E-4
19;19,235716;ecl;On;On;Receiver;Off;Off;Off;2,3388889E-4
20;19,235483;ecl;On;On;Receiver;Off;Off;Off;2,3388889E-4
21;19,235249;ecl;On;On;Receiver;Off;Off;Off;2,3388889E-4
22;19,235014;ecl;On;On;Receiver;Off;Off;Off;2,3388889E-4
23;19,234781;ecl;On;On;Receiver;Off;Off;Off;2,3388889E-4
24;19,234547;ecl;On;On;Receiver;Off;Off;Off;2,3388889E-4
25;19,234312;ecl;On;On;Receiver;Off;Off;Off;2,3388889E-4
26;19,23408;ecl;On;On;Receiver;Off;Off;Off;2,3388889E-4
27;19,233845;ecl;On;On;Receiver;Off;Off;Off;2,3388889E-4
28;19,233612;ecl;On;On;Receiver;Off;Off;Off;2,3388889E-4
29;19,233377;ecl;On;On;Receiver;Off;Off;Off;2,3388889E-4
30;19,233143;ecl;On;On;Receiver;Off;Off;Off;2,3388889E-4
31;19,23291;ecl;On;On;Receiver;Off;Off;Off;2,3388889E-4
32;19,232676;ecl;On;On;Receiver;Off;Off;Off;2,3388889E-4
33;19,23244;ecl;On;On;Receiver;Off;Off;Off;2,3388889E-4
34;19,232208;ecl;On;On;Receiver;Off;Off;Off;2,3388889E-4
35;19,231974;ecl;On;On;Receiver;Off;Off;Off;2,3388889E-4
36;19,23174;ecl;On;On;Receiver;Off;Off;Off;2,3388889E-4
37;19,231506;ecl;On;On;Receiver;Off;Off;Off;2,3388889E-4
38;19,231272;ecl;On;On;Receiver;Off;Off;Off;2,3388889E-4
39;19,23104;ecl;On;On;Receiver;Off;Off;Off;2,3388889E-4
40;19,230804;ecl;On;On;Receiver;Off;Off;Off;2,3388889E-4
41;19,23057;ecl;On;On;Receiver;Off;Off;Off;2,3388889E-4
42;19,230337;ecl;On;On;Receiver;Off;Off;Off;2,3388889E-4
43;19,230103;ecl;On;On;Receiver;Off;Off;Off;2,3388889E-4
44;19,22987;ecl;On;On;Receiver;Off;Off;Off;2,3388889E-4
45;19,229635;ecl;On;On;Receiver;Off;Off;Off;2,3388889E-4
46;19,2294;ecl;On;On;Receiver;Off;Off;Off;2,3388889E-4
47;19,229168;ecl;On;On;Receiver;Off;Off;Off;2,3388889E-4
48;19,228933;ecl;On;On;Receiver;Off;Off;Off;2,3388889E-4
49;19,228699;ecl;On;On;Receiver;Off;Off;Off;2,3388889E-4
50;19,228466;ecl;On;On;Receiver;Off;Off;Off;2,3388889E-4
51;19,228231;ecl;On;On;Receiver;Off;Off;Off;2,3388889E-4
52;19,227997;ecl;On;On;Receiver;Off;Off;Off;2,3388889E-4
53;19,227764;ecl;On;On;Receiver;Off;Off;Off;2,3388889E-4
54;19,22753;ecl;On;On;Receiver;Off;Off;Off;2,3388889E-4
55;19,227297;ecl;On;On;Receiver;Off;Off;Off;2,3388889E-4
56;19,227062;ecl;On;On;Receiver;Off;Off;Off;2,3388889E-4
57;19,226828;ecl;On;On;Receiver;Off;Off;Off;2,3388889E-4
58;19,226595;ecl;On;On;Receiver;Off;Off;Off;2,3388889E-4
59;19,22636;ecl;On;On;Receiver;Off;Off;Off;2,3388889E-4
60;19,226126;ecl;On;On;Receiver;Off;Off;Off;2,3388889E-4
61;19,225893;ecl;On;On;Receiver;Off;Off;Off;2,3388889E-4
62;19,225658;ecl;On;On;Receiver;Off;Off;Off;2,3388889E-4
63;19,225426;ecl;On;On;Receiver;Off;Off;Off;2,3388889E-4
64;19,225191;ecl;On;On;Receiver;Off;Off;Off;2,3388889E-4
65;19,224957;ecl;On;On;Receiver;Off;Off;Off;2,3388889E-4
66;19,224724;ecl;On;On;Receiver;Off;Off;Off;2,3388889E-4
67;19,22449;ecl;On;On;Receiver;Off;Off;Off;2,3388889E-4
68;19,224255;ecl;On;On;Receiver;Off;Off;Off;2,3388889E-4
69;19,224022;ecl;On;On;Receiver;Off;Off;Off;2,3388889E-4
70;19,223787;ecl;On;On;Receiver;Off;Off;Off;2,3388889E-4
71;19,223555;ecl;On;On;Receiver;Off;Off;Off;2,3388889E-4
72;19,22332;ecl;On;On;Receiver;Off;Off;Off;2,3388889E-4
73;19,223085;ecl;On;On;Receiver;Off;Off;Off;2,3388889E-4
74;19,222853;ecl;On;On;Receiver;Off;Off;Off;2,3388889E-4
75;19,222618;ecl;On;On;Receiver;Off;Off;Off;2,3388889E-4
76;19,222383;ecl;On;On;Receiver;Off;Off;Off;2,3388889E-4
77;19,22215;ecl;On;On;Receiver;Off;Off;Off;2,3388889E-4
78;19,221916;ecl;On;On;Receiver;Off;Off;Off;2,3388889E-4
79;19,221684;ecl;On;On;Receiver;Off;Off;Off;2,3388889E-4
80;19,221449;ecl;On;On;Receiver;Off;Off;Off;2,3388889E-4
81;19,221214;ecl;On;On;Receiver;Off;Off;Off;2,3388889E-4
82;19,220982;ecl;On;On;Receiver;Off;Off;Off;2,3388889E-4
83;19,220747;ecl;On;On;Receiver;Off;Off;Off;2,3388889E-4
84;19,220512;ecl;On;On;Receiver;Off;Off;Off;2,3388889E-4
85;19,22028;ecl;On;On;Receiver;Off;Off;Off;2,3388889E-4
86;19,220045;ecl;On;On;Receiver;Off;Off;Off;2,3388889E-4
87;19,219812;ecl;On;On;Receiver;Off;Off;Off;2,3388889E-4
88;19,219578;ecl;On;On;Receiver;Off;Off;Off;2,3388889E-4
89;19,219343;ecl;On;On;Receiver;Off;Off;Off;2,3388889E-4
90;19,21911;ecl;On;On;Receiver;Off;Off;Off;2,3388889E-4
91;19,218876;ecl;On;On;Receiver;Off;Off;Off;2,3388889E-4
92;19,218641;ecl;On;On;Receiver;Off;Off;Off;2,3388889E-4
93;19,218409;ecl;On;On;Receiver;Off;Off;Off;2,3388889E-4
94;19,218174;ecl;On;On;Receiver;Off;Off;Off;2,3388889E-4
95;19,217941;ecl;On;On;Receiver;Off;Off;Off;2,3388889E-4
96;19,217707;ecl;On;On;Receiver;Off;Off;Off;2,3388889E-4
97;19,217472;ecl;On;On;Receiver;Off;Off;Off;2,3388889E-4
98;19,21724;ecl;On;On;Receiver;Off;Off;Off;2,3388889E-4
99;19,217005;ecl;On;On;Receiver;Off;Off;Off;2,3388889E-4
100;19,21677;ecl;On;On;Receiver;Off;Off;Off;2,3388889E-4
101;19,216537;ecl;On;On;Receiver;Off;Off;Off;2,3388889E-4
102;19,216303;ecl;On;On;Receiver;Off;Off;Off;2,3388889E-4
103;19,21607;ecl;On;On;Receiver;Off;Off;Off;2,3388889E-4
104;19,215836;ecl;On;On;Receiver;Off;Off;Off;2,3388889E-4
105;19,215601;ecl;On;On;Receiver;Off;Off;Off;2,3388889E-4
106;19,215368;ecl;On;On;Receiver;Off;Off;Off;2,3388889E-4
107;19,215134;ecl;On;On;Receiver;Off;Off;Off;2,3388889E-4
108;19,2149;ecl;On;On;Receiver;Off;Off;Off;2,3388889E-4
109;19,214666;ecl;On;On;Receiver;Off;Off;Off;2,3388889E-4
110;19,214432;ecl;On;On;Receiver;Off;Off;Off;2,3388889E-4
111;19,2142;ecl;On;On;Receiver;Off;Off;Off;2,3388889E-4
112;19,213964;ecl;On;On;Receiver;Off;Off;Off;2,3388889E-4
113;19,21373;ecl;On;On;Receiver;Off;Off;Off;2,3388889E-4
114;19,213497;ecl;On;On;Receiver;Off;Off;Off;2,3388889E-4
115;19,213263;ecl;On;On;Receiver;Off;Off;Off;2,3388889E-4
116;19,213028;ecl;On;On;Receiver;Off;Off;Off;2,3388889E-4
117;19,212795;ecl;On;On;Receiver;Off;Off;Off;2,3388889E-4
118;19,21256;ecl;On;On;Receiver;Off;Off;Off;2,3388889E-4
119;19,212328;ecl;On;On;Receiver;Off;Off;Off;2,3388889E-4
120;19,212093;ecl;On;On;Receiver;Off;Off;Off;2,3388889E-4
121;19,211859;ecl;On;On;Receiver;Off;Off;Off;2,3388889E-4
122;19,211626;ecl;On;On;Receiver;Off;Off;Off;2,3388889E-4
123;19,211391;ecl;On;On;Receiver;Off;Off;Off;2,3388889E-4
124;19,211157;ecl;On;On;Receiver;Off;Off;Off;2,3388889E-4
125;19,210924;ecl;On;On;Receiver;Off;Off;Off;2,3388889E-4
126;19,21069;ecl;On;On;Receiver;Off;Off;Off;2,3388889E-4
127;19,210457;ecl;On;On;Receiver;Off;Off;Off;2,3388889E-4
128;19,210222;ecl;On;On;Receiver;Off;Off;Off;2,3388889E-4
129;19,209988;ecl;On;On;Receiver;Off;Off;Off;2,3388889E-4
130;19,209755;ecl;On;On;Receiver;Off;Off;Off;2,3388889E-4
131;19,20952;ecl;On;On;Receiver;Off;Off;Off;2,3388889E-4
132;19,209286;ecl;On;On;Receiver;Off;Off;Off;2,3388889E-4
133;19,209053;ecl;On;On;Receiver;Off;Off;Off;2,3388889E-4
134;19,208818;ecl;On;On;Receiver;Off;Off;Off;2,3388889E-4
135;19,208586;ecl;On;On;Receiver;Off;Off;Off;2,3388889E-4
136;19,208351;ecl;On;On;Receiver;Off;Off;Off;2,3388889E-4
137;19,208117;ecl;On;On;Receiver;Off;Off;Off;2,3388889E-4
138;19,207884;ecl;On;On;Receiver;Off;Off;Off;2,3388889E-4
139;19,20765;ecl;On;On;Receiver;Off;Off;Off;2,3388889E-4
140;19,207415;ecl;On;On;Receiver;Off;Off;Off;2,3388889E-4
141;19,207182;ecl;On;On;Receiver;Off;Off;Off;2,3388889E-4
142;19,206947;ecl;On;On;Receiver;Off;Off;Off;2,3388889E-4
143;19,206715;ecl;On;On;Receiver;Off;Off;Off;2,3388889E-4
144;19,20648;ecl;On;On;Receiver;Off;Off;Off;2,3388889E-4
145;19,206245;ecl;On;On;Receiver;Off;Off;Off;2,3388889E-4
146;19,206013;ecl;On;On;Receiver;Off;Off;Off;2,3388889E-4
147;19,205778;ecl;On;On;Receiver;Off;Off;Off;2,3388889E-4
148;19,205544;ecl;On;On;Receiver;Off;Off;Off;2,3388889E-4
149;19,20531;ecl;On;On;Receiver;Off;Off;Off;2,3388889E-4
150;19,205076;ecl;On;On;Receiver;Off;Off;Off;2,3388889E-4
151;19,204844;ecl;On;On;Receiver;Off;Off;Off;2,3388889E-4
152;19,204609;ecl;On;On;Receiver;Off;Off;Off;2,3388889E-4
153;19,204374;ecl;On;On;Receiver;Off;Off;Off;2,3388889E-4
154;19,204142;ecl;On;On;Receiver;Off;Off;Off;2,3388889E-4
155;19,203907;ecl;On;On;Receiver;Off;Off;Off;2,3388889E-4
156;19,203672;ecl;On;On;Receiver;Off;Off;Off;2,3388889E-4
157;19,20344;ecl;On;On;Receiver;Off;Off;Off;2,3388889E-4
158;19,203205;ecl;On;On;Receiver;Off;Off;Off;2,3388889E-4
159;19,202972;ecl;On;On;Receiver;Off;Off;Off;2,3388889E-4
160;19,202738;ecl;On;On;Receiver;Off;Off;Off;2,3388889E-4
161;19,202503;ecl;On;On;Receiver;Off;Off;Off;2,3388889E-4
162;19,20227;ecl;On;On;Receiver;Off;Off;Off;2,3388889E-4
163;19,202036;ecl;On;On;Receiver;Off;Off;Off;2,3388889E-4
164;19,201801;ecl;On;On;Receiver;Off;Off;Off;2,3388889E-4
165;19,201569;ecl;On;On;Receiver;Off;Off;Off;2,3388889E-4
166;19,201334;ecl;On;On;Receiver;Off;Off;Off;2,3388889E-4
167;19,201101;ecl;On;On;Receiver;Off;Off;Off;2,3388889E-4
168;19,200867;ecl;On;On;Receiver;Off;Off;Off;2,3388889E-4
169;19,200632;ecl;On;On;Receiver;Off;Off;Off;2,3388889E-4
170;19,2004;ecl;On;On;Receiver;Off;Off;Off;2,3388889E-4
171;19,200165;ecl;On;On;Receiver;Off;Off;Off;2,3388889E-4
172;19,19993;ecl;On;On;Receiver;Off;Off;Off;2,3388889E-4
173;19,199697;ecl;On;On;Receiver;Off;Off;Off;2,3388889E-4
174;19,199463;ecl;On;On;Receiver;Off;Off;Off;2,3388889E-4
175;19,19923;ecl;On;On;Receiver;Off;Off;Off;2,3388889E-4
176;19,198996;ecl;On;On;Receiver;Off;Off;Off;2,3388889E-4
177;19,198761;ecl;On;On;Receiver;Off;Off;Off;2,3388889E-4
178;19,198528;ecl;On;On;Receiver;Off;Off;Off;2,3388889E-4
179;19,198294;ecl;On;On;Receiver;Off;Off;Off;2,3388889E-4
180;19,19806;ecl;On;On;Receiver;Off;Off;Off;2,3388889E-4
181;19,197826;ecl;On;On;Receiver;Off;Off;Off;2,3388889E-4
182;19,197592;ecl;On;On;Receiver;Off;Off;Off;2,3388889E-4
183;19,19736;ecl;On;On;Receiver;Off;Off;Off;2,3388889E-4
184;19,197124;ecl;On;On;Receiver;Off;Off;Off;2,3388889E-4
185;19,19689;ecl;On;On;Receiver;Off;Off;Off;2,3388889E-4
186;19,196657;ecl;On;On;Receiver;Off;Off;Off;2,3388889E-4
187;19,196423;ecl;On;On;Receiver;Off;Off;Off;2,3388889E-4
188;19,196188;ecl;On;On;Receiver;Off;Off;Off;2,3388889E-4
189;19,195955;ecl;On;On;Receiver;Off;Off;Off;2,3388889E-4
